timestamp,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
0.395028,-0.528580,1.075846,-0.220825,-0.390630,-1.089811,0.933232,0.200128,0.529438,1.067250,0.216781,-0.386467,1.092097,0.927727,-0.198230
0.399608,-0.528455,1.053370,-0.226937,-0.378964,-1.090088,0.931845,0.199912,0.529334,1.044878,0.222488,-0.375088,1.092327,0.927199,-0.198181
0.404188,-0.528459,1.037121,-0.231253,-0.370504,-1.090215,0.931802,0.199762,0.529309,1.028777,0.226413,-0.366949,1.092443,0.927184,-0.198177
0.408767,-0.528499,1.019062,-0.235828,-0.361260,-1.090369,0.931849,0.199665,0.529289,1.011403,0.230680,-0.358247,1.092527,0.927092,-0.198151
0.413347,-0.528589,0.997560,-0.240990,-0.350300,-1.090606,0.932013,0.199509,0.529244,0.991198,0.235628,-0.348321,1.092589,0.926991,-0.198158
0.417927,-0.528634,0.977393,-0.245881,-0.340131,-1.090826,0.932146,0.199329,0.529240,0.972882,0.239981,-0.339628,1.092671,0.926869,-0.198171
0.422507,-0.528766,0.958369,-0.250380,-0.330891,-1.091029,0.932376,0.199134,0.529188,0.955725,0.243930,-0.331683,1.092792,0.926784,-0.198103
0.427086,-0.528909,0.939187,-0.254999,-0.322028,-1.091187,0.932619,0.198906,0.529147,0.937932,0.248081,-0.323633,1.092845,0.926780,-0.198206
0.431666,-0.529169,0.913197,-0.261099,-0.310534,-1.091385,0.932866,0.197898,0.529111,0.911575,0.253934,-0.312065,1.092795,0.926741,-0.196090
0.436246,-0.529374,0.897366,-0.264572,-0.303848,-1.091513,0.933099,0.195352,0.529145,0.894863,0.257591,-0.305084,1.092825,0.926686,-0.193462
0.440825,-0.529541,0.882266,-0.267873,-0.297558,-1.091543,0.933274,0.192996,0.529156,0.879389,0.261034,-0.299059,1.092824,0.926653,-0.191131
0.445405,-0.529751,0.865342,-0.271563,-0.290845,-1.091635,0.933514,0.190283,0.529219,0.862845,0.264647,-0.293105,1.092836,0.926715,-0.188369
0.449985,-0.529992,0.849359,-0.275319,-0.284857,-1.091741,0.933797,0.187596,0.529266,0.847754,0.267996,-0.288042,1.092841,0.926686,-0.185683
0.454565,-0.530311,0.834319,-0.278956,-0.279545,-1.091762,0.933996,0.184854,0.529297,0.833710,0.271058,-0.283631,1.092884,0.926782,-0.182981
0.459144,-0.530604,0.820209,-0.282258,-0.275039,-1.091750,0.934132,0.182107,0.529285,0.820646,0.273755,-0.279620,1.092891,0.926788,-0.180258
0.463724,-0.530945,0.807291,-0.285204,-0.271168,-1.091697,0.934234,0.179553,0.529333,0.808556,0.276203,-0.276241,1.092896,0.926742,-0.177658
0.468304,-0.531432,0.788390,-0.289278,-0.265904,-1.093673,0.934308,0.175454,0.529244,0.790798,0.279772,-0.271490,1.096757,0.926899,-0.173409
0.472883,-0.531671,0.778458,-0.291447,-0.263203,-1.097173,0.934312,0.172938,0.529367,0.780954,0.281609,-0.269265,1.100222,0.927036,-0.170997
0.477463,-0.531949,0.769013,-0.293415,-0.260734,-1.100278,0.934351,0.170618,0.529452,0.771201,0.283476,-0.267246,1.103575,0.927196,-0.168589
0.482043,-0.532225,0.758645,-0.295505,-0.258226,-1.104001,0.934378,0.167943,0.529543,0.760260,0.285603,-0.265298,1.108080,0.927384,-0.165933
0.486623,-0.532540,0.748429,-0.297437,-0.255963,-1.109129,0.934436,0.165333,0.529642,0.749319,0.287849,-0.263577,1.113795,0.927503,-0.163208
0.491202,-0.532811,0.738110,-0.299390,-0.254036,-1.114859,0.934518,0.162631,0.529751,0.738500,0.290172,-0.262203,1.120031,0.927630,-0.160629
0.495782,-0.533068,0.728073,-0.301342,-0.252506,-1.121125,0.934604,0.160641,0.529874,0.728517,0.292279,-0.261543,1.126863,0.927861,-0.159670
0.500362,-0.533222,0.718751,-0.303386,-0.251446,-1.128328,0.934740,0.160402,0.529983,0.719927,0.294023,-0.261353,1.134724,0.928079,-0.159634
0.504942,-0.533415,0.709137,-0.305465,-0.250853,-1.137556,0.935047,0.160278,0.530218,0.710755,0.295694,-0.261278,1.144293,0.928558,-0.159568
0.509521,-0.533533,0.701214,-0.307388,-0.250548,-1.145852,0.935739,0.160158,0.530418,0.702267,0.297077,-0.261167,1.152814,0.930008,-0.159573
0.514101,-0.533606,0.693472,-0.309005,-0.250464,-1.154309,0.936943,0.160110,0.530677,0.693209,0.298263,-0.261102,1.162039,0.933045,-0.159574
0.518681,-0.533603,0.686303,-0.310244,-0.250346,-1.162573,0.939462,0.160044,0.530895,0.684603,0.299315,-0.260997,1.170824,0.936633,-0.159573
0.523260,-0.533668,0.677165,-0.311787,-0.250160,-1.173036,0.943731,0.160082,0.531224,0.673738,0.300593,-0.261006,1.181889,0.941473,-0.159593
0.527840,-0.533694,0.667669,-0.313331,-0.250120,-1.184153,0.948198,0.159990,0.531529,0.662748,0.301808,-0.260944,1.193834,0.946384,-0.159562
0.532420,-0.533728,0.657640,-0.314894,-0.250109,-1.196253,0.952808,0.159966,0.531897,0.651321,0.303001,-0.260947,1.205933,0.950988,-0.159545
0.537000,-0.533824,0.647000,-0.316482,-0.250193,-1.207824,0.957499,0.159992,0.532132,0.639693,0.304180,-0.260830,1.218026,0.955459,-0.159391
0.541579,-0.533887,0.635213,-0.318344,-0.250276,-1.220677,0.962707,0.159979,0.532479,0.627246,0.305352,-0.260741,1.231130,0.960201,-0.159201
0.546159,-0.533975,0.623650,-0.320161,-0.250373,-1.233048,0.967905,0.159910,0.532766,0.615067,0.306480,-0.260584,1.243214,0.964608,-0.159024
0.550739,-0.533959,0.612359,-0.321949,-0.250448,-1.243667,0.972961,0.159836,0.533063,0.603407,0.307501,-0.260477,1.253579,0.968828,-0.158926
0.555318,-0.533995,0.603236,-0.323422,-0.250551,-1.251698,0.977028,0.159920,0.533241,0.594212,0.308334,-0.260383,1.261578,0.972135,-0.158770
0.559898,-0.533975,0.592957,-0.324876,-0.250850,-1.260437,0.981508,0.159825,0.533430,0.584067,0.309581,-0.260130,1.270316,0.974932,-0.158675
0.564478,-0.534038,0.582199,-0.326600,-0.251238,-1.269043,0.984712,0.159672,0.533697,0.573646,0.311426,-0.260074,1.278549,0.976026,-0.158526
